tuple	city	city_short
(14, 21)	Abington	Abington
(5, 18)	Acton	Acton
(17, 22)	Acushnet	Acushnet
(5, 2)	Adams	Adams
(12, 6)	Agawam	Agawam
(8, 0)	Alford	Alford
(0, 22)	Amesbury	Amesbury
(7, 9)	Amherst	Amherst
(4, 21)	Andover	Andover
(21, 24)	Aquinnah	Aquinnah
(7, 22)	Arlington	Arlington
(3, 13)	Ashburnham	Ashburnham
(3, 14)	Ashby	Ashby
(6, 6)	Ashfield	Ashfield
(9, 18)	Ashland	Ashland
(5, 10)	Athol	Athol
(15, 18)	Attleboro	Attleboro
(10, 13)	Auburn	Auburn
(13, 21)	Avon	Avon
(4, 16)	Ayer	Ayer
(16, 29)	Barnstable	Barnstable
(6, 12)	Barre	Barre
(9, 3)	Becket	Becket
(6, 20)	Bedford	Bedford
(9, 9)	Belchertown	Belchertown
(12, 16)	Bellingham	Bellingham
(7, 23)	Belmont	Belmont
(16, 21)	Berkley	Berkley
(7, 16)	Berlin	Berlin
(3, 7)	Bernardston	Bernardston
(5, 25)	Beverly	Beverly
(4, 19)	Billerica	Billerica
(13, 16)	Blackstone	Blackstone
(10, 5)	Blandford	Blandford
(6, 16)	Bolton	Bolton
(10, 23)	Boston	Boston
(16, 27)	Bourne	Bourne
(5, 17)	Boxborough	Boxborough
(3, 21)	Boxford	Boxford
(8, 15)	Boylston	Boylston
(12, 24)	Braintree	Braintree
(16, 31)	Brewster	Brewster
(16, 22)	Bridgewater	Bridgewater
(10, 10)	Brimfield	Brimfield
(14, 20)	Brockton	Brockton
(9, 12)	Brookfield	Brookfield
(10, 22)	Brookline	Brookline
(4, 5)	Buckland	Buckland
(6, 21)	Burlington	Burlington
(9, 22)	Cambridge	Cambridge
(12, 22)	Canton	Canton
(5, 19)	Carlisle	Carlisle
(16, 25)	Carver	Carver
(4, 4)	Charlemont	Charlemont
(10, 12)	Charlton	Charlton
(17, 31)	Chatham	Chatham
(4, 18)	Chelmsford	Chelmsford
(9, 24)	Chelsea	Chelsea
(5, 3)	Cheshire	Cheshire
(9, 4)	Chester	Chester
(8, 5)	Chesterfield	Chesterfield
(9, 8)	Chicopee	Chicopee
(20, 24)	Chilmark	Chilmark
(3, 0)	Clarksburg	Clarksburg
(6, 15)	Clinton	Clinton
(13, 25)	Cohasset	Cohasset
(3, 4)	Colrain	Colrain
(6, 19)	Concord	Concord
(5, 7)	Conway	Conway
(6, 5)	Cummington	Cummington
(6, 2)	Dalton	Dalton
(5, 24)	Danvers	Danvers
(18, 20)	Dartmouth	Dartmouth
(11, 22)	Dedham	Dedham
(4, 6)	Deerfield	Deerfield
(16, 30)	Dennis	Dennis
(16, 20)	Dighton	Dighton
(12, 14)	Douglas	Douglas
(11, 20)	Dover	Dover
(2, 19)	Dracut	Dracut
(12, 12)	Dudley	Dudley
(2, 17)	Dunstable	Dunstable
(15, 27)	Duxbury	Duxbury
(15, 22)	East Bridgewater	E. Bridgew.
(9, 13)	East Brookfield	E. Brookfield
(11, 8)	East Longmeadow	E. Longmead.
(14, 31)	Eastham	Eastham
(9, 7)	Easthampton	E.hampton
(14, 19)	Easton	Easton
(21, 26)	Edgartown	Edgartown
(9, 0)	Egremont	Egremont
(3, 8)	Erving	Erving
