city,county,population,total_cases,two_week_cases,average_incidence_per100k,color,relative_change,total_tests,two_week_tests,two_week_positive_tests,percent_positive,percent_positive_change,testing_rate,date,start_date,end_date,new_tests_town,new_cases_town,,
Abington,Plymouth,18224,248,6,,,No Change,3264,349,6,0.017192,No Change,1915.06,2020-08-05,2020-07-19,2020-08-01,211,5,211,5
Abington,Plymouth,18224,249,7,2.8,,No Change,3465,412,10,0.024272,Higher,2260.76,2020-08-12,2020-07-26,2020-08-08,201,1,201,1
Abington,Plymouth,18224,252,0,1.6,,Lower,3858,525,8,0.015238,Lower,2880.82,2020-08-19,2020-08-02,2020-08-15,393,3,393,3
Abington,Plymouth,18224,257,8,3.2,,Higher,4209,658,11,0.016717,Higher,3610.62,2020-08-26,2020-08-09,2020-08-22,351,5,351,5
Abington,Plymouth,18224,267,15,6,,Higher,4547,670,16,0.023881,Higher,3676.47,2020-09-02,2020-08-16,2020-08-29,338,10,338,10
Abington,Plymouth,18224,269,12,4.8,,Lower,4912,657,15,0.022831,No Change,3605.14,2020-09-09,2020-08-23,2020-09-05,365,2,365,2
Abington,Plymouth,18224,276,9,3.6,,Lower,5308,685,15,0.021898,Lower,3758.78,2020-09-16,2020-08-30,2020-09-12,396,7,396,7
Abington,Plymouth,18224,279,9,3.6,,No Change,5770,756,14,0.018519,Lower,4148.38,2020-09-23,2020-09-06,2020-09-19,462,3,462,3
Abington,Plymouth,18224,285,8,3.2,,Lower,6252,824,13,0.015777,Lower,4521.51,2020-09-30,2020-09-13,2020-09-26,482,6,482,6
Abington,Plymouth,18224,294,11,4.4,,Higher,6767,933,14,0.015005,No Change,5119.62,2020-10-07,2020-09-20,2020-10-03,515,9,515,9
Abington,Plymouth,18224,314,29,11.5,,Higher,7320,1089,33,0.030303,Higher,5975.64,2020-10-14,2020-09-27,2020-10-10,553,20,553,20
Abington,Plymouth,18224,323,32,12.7,,No Change,7955,1176,38,0.032313,No Change,6453.03,2020-10-22,2020-10-04,2020-10-17,635,9,635,9
Abington,Plymouth,18224,343,26,10.3,,Lower,8650,1210,35,0.028926,Lower,6639.60,2020-10-29,2020-10-11,2020-10-24,695,20,695,20
Abington,Plymouth,18224,358,30,11.8,,Higher,9305,1284,38,0.029595,Higher,7045.65,2020-11-06,2020-10-18,2020-10-31,655,15,655,15
Abington,Plymouth,18224,383,38,14.9,,Higher,9936,1312,47,0.035823,Higher,7199.30,2020-11-12,2020-10-25,2020-11-07,631,25,631,25
Abington,Plymouth,18224,418,61,23.9,,Higher,10666,1317,69,0.052392,Higher,7226.73,2020-11-19,2020-11-01,2020-11-14,730,35,730,35
Abington,Plymouth,18224,439,60,23.5,,Lower,11363,1386,64,0.046176,Lower,7605.36,2020-11-27,2020-11-08,2020-11-21,697,21,697,21
Abington,Plymouth,18224,482,59,23.1,,Lower,12073,1340,67,0.05,No Change,7352.94,2020-12-03,2020-11-15,2020-11-28,710,43,710,43
Abington,Plymouth,18224,568,116,45.47,,Higher,13023,1590,129,0.081132,Higher,8724.76,2020-12-10,2020-11-22,2020-12-05,950,86,950,86
Abington,Plymouth,18224,668,170,66.6,,Higher,14171,1994,183,0.091775,Higher,10941.62,2020-12-17,2020-11-29,2020-12-12,1148,100,1148,100
